Time_Step,Agent_ID,Group_Type,Inherent_Visibility,Resource_Need_Level,Promotional_Effort,Potential_Attention,Actual_Attention_Received,Need_Met_Probability,Need_Met_This_Step,Bylaw_Cost_Incurred,Bylaw_Benefit_Received_Flag,Agent_Satisfaction,Overall_Attention_Saturation,Bylaw_Active,Total_Needs_Met_Ratio,Bylaw_Pool_Size
0,0,Athlete,0.7322219011034315,0.23654572408739363,0.9233435547667851,1.0,0.4190721512454064,0.1756214679494528,True,0.0,False,0.5093350505871784,0.5809278487545936,False,0.3333333333333333,0.0
0,1,Athlete,0.7923392123777926,0.24049004503307556,0.9517694957010037,1.0,0.4190721512454064,0.1756214679494528,False,0.0,False,0.48933505058717847,0.5809278487545936,False,0.3333333333333333,0.0
0,2,Athlete,0.7735313433480501,0.25830684322373465,0.5122466472756009,1.0,0.4190721512454064,0.1756214679494528,True,0.0,False,0.5093350505871784,0.5809278487545936,False,0.3333333333333333,0.0
0,3,Athlete,0.5297654949283515,0.181753341628004,0.705324791626196,0.9530487416334432,0.3993961863980546,0.16737581903304405,False,0.0,False,0.48795773304786383,0.5809278487545936,False,0.3333333333333333,0.0
0,4,Athlete,0.565754705805878,0.3526942237877101,0.2652391282293427,0.7667991542281267,0.32134417113553926,0.13466639308794248,False,0.0,False,0.4824940919794877,0.5809278487545936,False,0.3333333333333333,0.0
0,5,Athlete,0.7110448718373004,0.15663827461849503,1.0231210958415526,1.0,0.4190721512454064,0.1756214679494528,True,0.0,False,0.5093350505871784,0.5809278487545936,False,0.3333333333333333,0.0
0,6,Athlete,0.6693217153342917,0.36336607068376703,0.8846319081035651,1.0,0.4190721512454064,0.1756214679494528,False,0.0,False,0.48933505058717847,0.5809278487545936,False,0.3333333333333333,0.0
0,7,Athlete,0.5047868053890344,0.1262829450897405,0.5976344180055563,0.8880343544261522,0.3721504672891933,0.1559578969138655,True,0.0,False,0.5060505327102436,0.5809278487545936,False,0.3333333333333333,0.0
0,8,Athlete,0.697643248551824,0.3038131865691217,0.4622621689505496,1.0,0.4190721512454064,0.1756214679494528,False,0.0,False,0.48933505058717847,0.5809278487545936,False,0.3333333333333333,0.0
0,9,Athlete,0.5557499183684671,0.23987335344796304,0.7900493935996694,1.0,0.4190721512454064,0.1756214679494528,False,0.0,False,0.48933505058717847,0.5809278487545936,False,0.3333333333333333,0.0
0,10,Athlete,0.5104284956017774,0.14704487730844618,0.29557513208721364,0.7135400880162722,0.29902477968481583,0.12531295769819947,False,0.0,False,0.4809317345779371,0.5809278487545936,False,0.3333333333333333,0.0
0,11,Athlete,0.6569295926088943,0.33792137668509525,0.6189546946694707,1.0,0.4190721512454064,0.1756214679494528,False,0.0,False,0.48933505058717847,0.5809278487545936,False,0.3333333333333333,0.0
0,12,Athlete,0.7459945492561737,0.3828559299987708,0.8983524855255953,1.0,0.4190721512454064,0.1756214679494528,True,0.0,False,0.5093350505871784,0.5809278487545936,False,0.3333333333333333,0.0
0,13,Athlete,0.6522139913813578,0.24375522840236732,0.2316749548311379,0.8263882977828186,0.34631632171587534,0.14513152595286813,False,0.0,False,0.4842421425201113,0.5809278487545936,False,0.3333333333333333,0.0
0,14,Athlete,0.6434674991834953,0.39842487112512337,0.10543551999448743,0.7193432558142421,0.3014567256979491,0.12633211854563592,False,0.0,False,0.4811019707988564,0.5809278487545936,False,0.3333333333333333,0.0
0,15,Athlete,0.6205286636138527,0.3220976080442298,0.609926943661348,1.0,0.4190721512454064,0.1756214679494528,False,0.0,False,0.48933505058717847,0.5809278487545936,False,0.3333333333333333,0.0
0,16,Athlete,0.5095608101365908,0.2622033488778325,0.7169640247042174,1.0,0.4190721512454064,0.1756214679494528,False,0.0,False,0.48933505058717847,0.5809278487545936,False,0.3333333333333333,0.0
0,17,Athlete,0.6520328143329019,0.20942730289570932,0.8736280922251833,1.0,0.4190721512454064,0.1756214679494528,True,0.0,False,0.5093350505871784,0.5809278487545936,False,0.3333333333333333,0.0
0,18,Athlete,0.6042062425603143,0.32668021447347667,0.9012280885698067,1.0,0.4190721512454064,0.1756214679494528,False,0.0,False,0.48933505058717847,0.5809278487545936,False,0.3333333333333333,0.0
0,19,Athlete,0.6939969665342967,0.330896801229526,0.9113085892845997,1.0,0.4190721512454064,0.1756214679494528,False,0.0,False,0.48933505058717847,0.5809278487545936,False,0.3333333333333333,0.0
0,20,Mathlete,0.09536176895979809,0.7002884514965003,0.12740031597051107,0.15374130019412485,0.06442869740761772,0.027000272824549698,False,0.0,False,0.4505042397886032,0.5809278487545936,False,0.3333333333333333,0.0
0,21,Mathlete,0.06415162254543474,0.8829842473312626,0.9602160146088351,0.6103585026773707,0.2557842507479309,0.10719205621562984,False,0.0,False,0.4602452126057299,0.5809278487545936,False,0.3333333333333333,0.0
0,22,Mathlete,0.13982136686033667,0.9908981685545363,0.3784521721721478,0.27727794454934007,0.11619946471519646,0.04869595965176208,False,0.0,False,0.448315999158973,0.5809278487545936,False,0.3333333333333333,0.0
